Time,Temperature,Humidity
552564,21.91,42.17
553506,21.95,38.12
554448,22,50.715
555390,22.07,41.077
556332,22.01,35.366
557277,22,50.756
558222,22.08,41.077
559167,22.01,35.447
560113,21.9,42.089
561059,21.95,38.08
562008,21.9,42.089
562957,21.94,38.039
563906,22,50.715
564855,22.07,41.036
565805,22.02,35.447
566758,22.01,50.756
567711,21.9,42.089
568664,22.02,35.447
569618,21.95,38.039
570572,22.06,40.955
571529,21.94,38.039
572486,21.9,42.089
573443,22.01,35.447
574401,22.07,40.955
575359,22,50.756
576320,22.01,35.447
577281,22.01,50.756
578242,22.07,40.914
579203,21.94,38.08
580165,21.89,42.089
581130,22,35.407
582095,21.88,42.089
583060,21.94,38.08
584026,22,50.756
584992,22.05,41.036
585961,21.89,42.089
586930,22.02,35.447
587899,22,50.756
588868,22.05,40.996
589838,21.94,38.12
590811,22.01,35.447
591784,21.89,42.089
592757,22,50.756
593731,22.06,40.996
594705,21.93,38.12
595682,22.01,50.756
596660,22,35.487
597638,21.93,38.12
598616,21.9,42.089
599594,22.06,40.996
600575,21.9,42.13
601556,22,35.487
602537,22.02,50.756
603519,21.94,38.12
604501,22.06,41.036
605486,21.93,38.12
606471,21.88,42.13
607456,21.99,35.528
608442,21.98,50.756
609428,22.06,41.036
610417,22,35.528
611406,21.93,38.12
612396,21.88,42.17
613386,22,50.756
614376,22.06,41.036
615369,22.02,35.528
616362,22.06,41.036
617356,21.88,42.17
618350,21.93,38.12
619344,21.98,50.756
620341,21.87,42.17
621338,21.94,38.201
622336,22,35.528
623334,22.06,41.036
624332,21.98,50.756
625333,21.87,42.089
626334,21.93,38.201
627335,22.06,41.036
628337,22,35.528
629339,21.98,50.756
630344,21.93,38.201
631350,22,50.756
632356,22.05,41.077
633362,21.87,42.089
634368,22,35.528
635377,22.06,41.036
636386,21.99,50.756
637395,22,35.528
638405,21.93,38.201
639415,21.87,42.089
640428,21.86,42.089
641441,22.06,41.036
642454,21.98,50.756
643468,21.93,38.201
644482,22,35.528
645499,21.98,50.797
646516,22,35.528
647534,21.86,42.089
648552,22.06,41.036
649570,21.92,38.201
650591,22,35.528
651612,21.92,38.16
652633,22.06,41.077
653654,21.98,50.797
654676,21.86,42.13
655701,21.86,42.13
656726,22,35.528
657752,21.92,38.201
658778,21.99,50.797
659804,22.06,41.036
660833,22,35.528
